specialty,hcpcs_desc,total_services,avg_medicare_payment,unique_providers
Medical Oncology,"Injection, palonosetron hcl, 25 mcg",220829.0,0.8077793712096071,229
Diagnostic Radiology,"X-ray of shoulder, 1 view",7506.0,6.2198299162542785,321
Medical Oncology,"Follow-up hospital inpatient care per day, typically 35 minutes",62641.0,86.05774137562672,576
Family Practice,"Blood test, comprehensive group of blood chemicals",392765.0,10.379463687492313,1612
Diagnostic Radiology,Imaging of urinary tract following injection of a contrast agent,5887.0,19.52217495947893,258
Internal Medicine,"Hospital observation or inpatient care admitted and discharged on the same day for high severity problem, typically 55 minutes",4430.0,162.95274320739728,219
Family Practice,"Chronic care management services, first 20 minutes of clinical staff time directed by health care professional, per calendar month",498508.0,46.5398596195167,1253
Internal Medicine,Office or other outpatient visit for the evaluation and management of established patient that may not require presence of healthcare professional,170462.0,18.498839809896147,1400
Internal Medicine,Ultrasound of both sides of head and neck blood flow,49918.0,146.79445813177776,727
Family Practice,"Testosterone (hormone) level, total",9145.0,25.34451493596,125
Clinical Laboratory,"Psa (prostate specific antigen) measurement, total",893512.0,18.099507955382357,204
Hematology-Oncology,"Injection, epoetin alfa-epbx, biosimilar, (retacrit) (for non-esrd use), 1000 units",1421850.0,6.362381292136303,292
Internal Medicine,"Initial nursing facility visit per day, typically 35 minutes",78532.0,103.71227107682577,917
Internal Medicine,Vitamin d-3 level,166559.0,29.115866861392558,1103
Clinical Laboratory,"Urea nitrogen level to assess kidney function, quantitative",119733.0,3.8626683438625955,131
Medical Oncology,"Injection, darbepoetin alfa, 1 microgram (non-esrd use)",1754081.0,2.5047629154792084,101
Medical Oncology,"Infusion into a vein for hydration, each additional hour",17240.0,10.402996525791146,192
Internal Medicine,"Thyroxine (thyroid chemical), total",22107.0,6.796886910028946,114
Family Practice,Creatinine level to test for kidney function or muscle injury,72523.0,5.094866745834326,941
Clinical Laboratory,Glutamyltransferase (liver enzyme) level,133709.0,7.09375287385164,122
Hematology-Oncology,"Initial hospital inpatient care per day, typically 70 minutes",60744.0,162.32300531226534,1289
Hematology-Oncology,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",541061.0,35.82125382121429,112
Internal Medicine,Exercise or drug-induced heart stress test with electrocardiogram (ecg) with review by physician,12935.0,11.153752005796509,211
Physical Therapist in Private Practice,Therapy procedure using functional activities,7622934.0,27.97962620163196,12933
Hematology-Oncology,"Injection, denosumab, 1 mg",5140490.0,16.968661806324068,777
Hematology-Oncology,"New patient office or other outpatient visit, 45-59 minutes",61585.0,121.95647451397238,1444
Pharmacy,Adm sarscov2 50mcg/0.25mlbst,46138.0,40.209633291545856,447
Hematology-Oncology,"Initial hospital inpatient care per day, typically 30 minutes",6011.0,82.65823959006434,202
Ambulance Service Provider,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",62477.9,241.75137342861532,390
Internal Medicine,Inhalation treatment for airway obstruction or sputum production,8827.0,9.198949508794,150
Rheumatology,"Injection, methylprednisolone sodium succinate, up to 125 mg",11218.0,4.489656825345517,145
Internal Medicine,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",186041.0,46.556521018552466,606
Family Practice,"Follow-up nursing facility visit per day, typically 35 minutes",54538.0,105.78731557377077,402
Family Practice,Hospital observation care on day of discharge,20401.0,55.70390595175804,715
Hematology-Oncology,Ct scan of chest without contrast,5687.0,52.567858053109596,145
Diagnostic Radiology,Nuclear medicine study of stomach to assess emptying,7595.0,70.66520165401589,304
Family Practice,"Folic acid level, serum",41317.0,14.491830687353728,376
Family Practice,"Injection, denosumab, 1 mg",742246.0,16.207554417562868,342
Internal Medicine,"Thyroid hormone, t3 measurement, total",26031.0,13.999135508905983,117
Internal Medicine,Coronavirus vaccine 13,5482.0,0.009997935365354337,126
Diagnostic Radiology,"X-ray of upper spine, 6 or more views",5483.0,27.24736926088572,254
Hematology-Oncology,"Uric acid level, blood",79341.0,4.460345864928436,211
Internal Medicine,"Bacterial colony count, urine",17331.0,7.958564120427654,311
Medical Oncology,Ferritin (blood protein) level,41129.0,13.438008350715739,197
Family Practice,"Thyroid hormone, t3 measurement, free",34305.0,16.677893728514995,200
Internal Medicine,"Nursing facility annual assessment, typically 30 minutes",7917.0,70.92079919167624,231
Pharmacy,"Influenza vaccine, quadrivalent inactivated, 0.5 ml dosage",48532.0,69.89758963839618,472
Diagnostic Radiology,"Computed tomography (ct) of brain blood flow, volume, and timing of flow analysis with contrast",12071.0,171.04815429103692,461
Internal Medicine,Liver function blood test panel,49285.0,8.02543139079173,254
Internal Medicine,Detection test by immunoassay technique for severe acute respiratory syndrome coronavirus and influenza,8973.0,30.41920821071041,221
Diagnostic Radiology,Limited ultrasound scan behind abdominal cavity,89388.0,27.323172779440277,1994
Internal Medicine,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",21592.0,15.732636306191186,362
Medical Oncology,Ct scan of chest with contrast,5679.0,52.51443347777193,114
Hematology-Oncology,"Injection, iron sucrose, 1 mg",4073472.0,0.16224248751680675,238
Family Practice,"Nursing facility discharge day management, 30 minutes or less",9530.0,57.07361728307182,174
Diagnostic Radiology,Needle biopsy of kidney,2521.0,103.08273983649593,123
Family Practice,"Blood test, lipids (cholesterol and triglycerides)",361555.0,13.166628715021561,1623
Family Practice,"Blood test, thyroid stimulating hormone (tsh)",258061.0,16.553848701258307,1444
Family Practice,"Nursing facility annual assessment, typically 30 minutes",4724.0,69.5436525370927,144
Family Practice,"Manual urinalysis test with examination using microscope, automated",65352.0,3.1193821608587644,696
Diagnostic Radiology,Mri scan of arm without contrast,5329.0,183.30423870083956,184
Family Practice,"Complete blood cell count (red cells, white blood cell, platelets), automated test and automated differential white blood cell count",402889.0,7.646697037464906,1778
Diagnostic Radiology,Complete ultrasound scan of 1 breast,271961.0,63.538572316077826,1760
Family Practice,"Injection, vitamin b-12 cyanocobalamin, up to 1000 mcg",101759.0,1.210226373995632,1076
Family Practice,"Established patient home visit, typically 25 minutes",14389.0,60.59342800034128,126
Family Practice,"New patient office or other outpatient visit, 45-59 minutes",193551.0,109.54338702581771,5525
Diagnostic Radiology,"X-ray of entire middle and lower spine, 2-3 views",16262.0,24.39030797760051,338
Diagnostic Radiology,Aspiration and/or injection of fluid from large joint,11148.0,41.995173569862466,341
Diagnostic Radiology,Single contrast x-ray of upper digestive tract,6326.0,35.178277256083014,263
Family Practice,"Thyroxine (thyroid chemical), free",103580.0,8.875809972371938,834
Medical Oncology,"Injection, ondansetron hydrochloride, per 1 mg",129097.0,0.06710537672222222,108
Internal Medicine,"Detection test by immunoassay with direct visual observation for streptococcus, group a (strep)",12459.0,16.240439000382025,356
Family Practice,Detection test by immunoassay with direct visual observation for influenza virus,83276.0,16.21329115666565,1461
Family Practice,"Initial hospital inpatient care per day, typically 70 minutes",154350.0,157.33931519246818,1964
Family Practice,Ultrasound of both sides of head and neck blood flow,13518.0,149.48067525219548,220
Family Practice,"Pneumococcal conjugate vaccine, 20 valent (pcv20), for intramuscular use",50338.0,274.805916586579,2216
Medical Oncology,Unclassified drugs,12001.0,0.9267502618319443,144
Internal Medicine,"Follow-up hospital inpatient care per day, typically 15 minutes",186570.0,31.765039442707657,1960
Family Practice,Detection test by immunoassay technique for severe acute respiratory syndrome coronavirus,132705.0,39.76285313525326,1657
Hematology-Oncology,"Blood test, thyroid stimulating hormone (tsh)",54122.0,16.625308117199996,340
Clinical Laboratory,"Detection test by nucleic acid for multiple types of respiratory virus, multiple types or subtypes, 3-5 targets",80160.0,140.17919857129823,114
Diagnostic Radiology,Ct guidance for insertion of radiation therapy fields,10066.0,50.03973181092436,115
Family Practice,"Removal of skin and tissue, 20.0 sq cm or less",151181.0,63.58177326824999,290
Family Practice,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes",53144.0,27.20028443971076,502
Family Practice,Ldl cholesterol level,22337.0,10.333876294696063,127
Medical Oncology,"Injection, granisetron hydrochloride, 100 mcg",112984.0,0.2685874267462069,145
Diagnostic Radiology,Ct scan of chest with contrast,479054.0,53.08784290371446,5666
Diagnostic Radiology,Mri scan of brain without contrast,358889.0,79.51291807875944,4120
Clinical Laboratory,Detection test by immunoassay technique for hepatitis b surface antigen,109055.0,10.149984720528971,107
Clinical Laboratory,Magnesium level,758517.0,6.604956166164369,261
Diagnostic Radiology,Insertion of needle into vein for collection of blood sample,18907.0,2.9611719422565845,205
Family Practice,Anticoagulant management of patient taking warfarin,28892.0,7.316527094704062,197
Physical Therapist in Private Practice,"Evaluation for physical therapy, typically 30 minutes",405831.0,77.54730817900187,9796
Diagnostic Radiology,"X-ray of upper spine, 4-5 views",46437.0,22.03999470527757,1556
Rheumatology,"Infusion, normal saline solution, 250 cc",37192.0,0.5145658820788732,142
